regel_id,status,norm_verweis,quelle_version
V1,zu_bestaetigen,VOB/A § 7 Abs. 1 Nr. 4,
V2,zu_bestaetigen,VOB/A § 7 Abs. 1 Nr. 4 Satz 2 · Abrechnung: VOB/B § 15,
V3,zu_bestaetigen,VOB/A § 7 Abs. 2 · bei EU-Vergaben zusätzlich VgV § 31 Abs. 6,
V4,zu_bestaetigen,VOB/A § 7 Abs. 1 Nr. 3,
V5,zu_bestaetigen,VOB/A § 7 Abs. 1 Nr. 1,
V6,zu_bestaetigen,VOB/A § 7 Abs. 1 Nr. 2,
V7,bestaetigt,GAEB DA XML — TextComplement (kein VOB-Bezug),
V8,zu_bestaetigen,"VOB/C, ATV DIN 18299 Abschnitt 4.1",
V9,zu_bestaetigen,"VOB/C, ATV DIN 18299 Abschnitt 4.2",
V10,zu_bestaetigen,"VOB/C, DIN 18300 Abschnitt 0",
G1,bestaetigt,kein Norm-Bezug — Kennzahl aus der Datei,
G2,bestaetigt,kein Norm-Bezug — Kennzahl aus der Datei,
G3,bestaetigt,kein Norm-Bezug — Beobachtung an der Datei,
G4,bestaetigt,kein Norm-Bezug — Kennzahl aus der Datei,
